Date,priceUSD,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusdUSD,transactionfeesUSD,median_transaction_feeUSD,confirmationtime,transactionvalueUSD,mediantransactionvalueUSD,activeaddresses,top100cap,fee_to_rewardUSD,Open,High,Low,Close,Adj Close,Volume
06-06-2016,580.536,221001,705374,309392,1.99312E+11,1.68E+18,1.49,907538925,0.137,0.0615,8.471,5148,148.047,446221,19.463,1.213,574.60199,586.469971,574.60199,585.536987,585.536987,72138896
07-06-2016,579.599,230876,803520,318170,1.99312E+11,1.47E+18,1.397,988193343,0.132,0.0614,10.286,5375,147.721,442725,19.467,1.479,585.445007,590.258972,567.513977,576.596985,576.596985,107770000
08-06-2016,574.524,229789,802157,309831,1.96423E+11,1.43E+18,1.462,951443438,0.126,0.0618,10,5002,148.887,432718,19.347,1.382,577.166992,582.838989,573.130005,581.64502,581.64502,80265800
09-06-2016,574.28,236188,720538,329488,1.96061E+11,1.54E+18,1.562,987039082,0.129,0.0617,8.727,5084,160.8,464860,19.338,1.275,582.203003,582.203003,570.950989,574.630005,574.630005,71301000
10-06-2016,573.047,228223,822570,316057,1.96061E+11,1.46E+18,1.437,1103171341,0.133,0.0615,10,5771,171.654,456051,19.453,1.447,575.836975,579.127014,573.325012,577.469971,577.469971,66991900
11-06-2016,579.549,213003,696038,290012,1.96061E+11,1.48E+18,1.542,913061730,0.126,0.0603,9.231,5144,157.753,414577,19.426,1.173,578.674011,607.116028,578.674011,606.72699,606.72699,82357000
12-06-2016,638.456,210565,829965,294699,1.96061E+11,1.48E+18,1.592,1550049716,0.159,0.0638,9.863,8574,157.646,443702,19.35,1.417,609.684021,684.843994,607.039001,672.783997,672.783997,277084992
13-06-2016,686.885,251193,915520,340273,1.96061E+11,1.49E+18,1.885,1569593051,0.175,0.0739,8.944,7529,184.923,501460,19.274,1.563,671.653992,716.004028,664.487,704.375977,704.375977,243295008
14-06-2016,685.852,246697,955117,328933,1.96061E+11,1.48E+18,1.56,1325293748,0.192,0.103,10.909,6559,171.5,474058,19.349,2.05,704.504028,704.504028,662.804016,685.559021,685.559021,186694000
15-06-2016,682.671,259050,917067,355138,1.96061E+11,1.36E+18,1.949,1277023446,0.22,0.122,9.474,6113,169.974,497380,19.289,2.148,685.684998,696.302979,672.560974,694.468994,694.468994,99223800
16-06-2016,734.99,267721,957621,358255,1.96061E+11,1.51E+18,1.857,1614440592,0.226,0.117,9.664,7667,209.84,503551,19.183,2.163,696.52301,773.721985,696.52301,766.307983,766.307983,271633984
17-06-2016,744.823,253603,930671,351130,1.96061E+11,1.46E+18,1.944,1605289556,0.232,0.119,9.664,8138,193.031,509363,19.12,2.075,768.487,775.356018,716.55603,748.908997,748.908997,363320992
18-06-2016,748.164,235159,867645,320932,1.96061E+11,1.42E+18,2.119,1360150778,0.225,0.12,9.114,7450,159.051,495933,19.091,1.757,748.755981,777.98999,733.929016,756.22699,756.22699,252718000
19-06-2016,753.295,218121,723025,302078,1.96061E+11,1.74E+18,1.94,1189229337,0.218,0.136,8.136,6932,150.866,443893,19.04,1.408,756.687988,766.620972,745.627991,763.781006,763.781006,136184992
20-06-2016,747.682,249170,780210,341587,1.96061E+11,1.68E+18,1.862,1522315501,0.23,0.135,8.78,7932,192.185,469212,19.077,1.839,763.927002,764.083984,732.72699,737.226013,737.226013,174511008
21-06-2016,681.946,248015,914827,344972,2.06307E+11,1.56E+18,1.658,1548114419,0.21,0.0962,9.664,7825,208.464,518259,19.169,2.008,735.882996,735.882996,639.070007,666.651978,666.651978,309944000
22-06-2016,649.939,235512,945561,327199,2.09453E+11,1.46E+18,1.469,1425769047,0.218,0.116,11.163,7476,233.783,461509,19.393,2.388,665.914978,678.669983,587.482971,596.116028,596.116028,266392992
23-06-2016,588.926,241160,919713,340175,2.09453E+11,1.43E+18,1.471,1537726813,0.184,0.094,10.286,7707,184.295,496189,19.276,2.107,597.442993,629.327026,558.138977,623.97699,623.97699,253462000
24-06-2016,652.469,237496,942594,335486,2.09453E+11,1.35E+18,1.591,1533267389,0.204,0.113,11.163,7672,216.648,469900,19.269,2.248,625.575012,681.72699,625.271973,665.299011,665.299011,224316992
25-06-2016,669.287,206757,792515,300669,2.09453E+11,1.55E+18,1.771,1072219711,0.197,0.107,8.889,7024,165.975,491143,19.225,1.485,665.281006,691.731018,646.559021,665.122986,665.122986,126656000
26-06-2016,640.632,181202,762149,277262,2.09453E+11,1.58E+18,1.504,859651597,0.192,0.1,9.863,6426,140.997,453212,19.227,1.467,665.93103,665.97998,616.934021,629.367004,629.367004,109225000
27-06-2016,637.878,216882,777125,288396,2.09453E+11,1.55E+18,1.534,1035725984,0.182,0.0957,9.796,6372,162.682,404257,19.123,1.655,629.348999,655.275024,620.523987,655.275024,655.275024,122134000
28-06-2016,647.563,212459,759950,306081,2.09453E+11,1.54E+18,1.585,932141489,0.178,0.0878,9.73,5681,161.826,431494,19.112,1.554,658.10199,659.247986,637.77301,647.000977,647.000977,138384992
29-06-2016,633.786,223966,764476,294078,2.09453E+11,1.48E+18,1.587,877645426,0.175,0.0859,9.863,5617,183.789,410086,19.181,1.663,644.122009,644.682007,628.283997,639.890015,639.890015,142456000
30-06-2016,651.127,231810,797428,308116,2.09453E+11,1.59E+18,1.564,995713523,0.176,0.0883,9.6,5846,195.127,442083,19.104,1.64,640.591003,675.403015,636.607971,673.336975,673.336975,138980000
01-07-2016,674.251,205646,749268,282202,2.09453E+11,1.73E+18,1.532,1061218002,0.189,0.0906,9.29,6712,185.15,449855,19.103,1.468,672.515015,686.153992,669.593994,676.296021,676.296021,134431008
02-07-2016,683.826,198726,694734,261873,2.09453E+11,1.50E+18,1.722,1009740048,0.182,0.0927,9.664,7391,186.925,408449,19.075,1.402,676.734009,703.702026,676.398987,703.702026,703.702026,112354000
03-07-2016,673.449,176973,614566,246744,2.09453E+11,1.58E+18,1.657,875462436,0.173,0.0881,9.351,6596,152.129,383963,19.079,1.168,704.968018,704.968018,649.008972,658.664001,658.664001,129512000
